ToyId,ElfId,StartTime,Duration
293,1,2014 1 1 9 0,4
421,2,2014 1 1 9 0,42
2,3,2014 1 1 9 0,5
233,4,2014 1 1 9 0,35
161,5,2014 1 1 9 0,21
108,6,2014 1 1 9 0,218
178,7,2014 1 1 9 0,42
112,8,2014 1 1 9 0,5
391,9,2014 1 1 9 0,37
458,10,2014 1 1 9 0,5
139,11,2014 1 1 9 0,94
438,12,2014 1 1 9 0,70
186,13,2014 1 1 9 0,4
70,14,2014 1 1 9 0,8
323,15,2014 1 1 9 0,10
50,16,2014 1 1 9 0,74
397,17,2014 1 1 9 0,2
442,18,2014 1 1 9 0,3
151,19,2014 1 1 9 0,28
406,17,2014 1 1 9 2,32
445,18,2014 1 1 9 3,7
298,1,2014 1 1 9 4,11
185,13,2014 1 1 9 4,4
8,3,2014 1 1 9 5,42
121,8,2014 1 1 9 5,31
465,10,2014 1 1 9 5,14
195,13,2014 1 1 9 8,24
72,14,2014 1 1 9 8,16
314,15,2014 1 1 9 10,2
455,18,2014 1 1 9 10,114
313,15,2014 1 1 9 12,2
319,15,2014 1 1 9 14,6
295,1,2014 1 1 9 15,6
463,10,2014 1 1 9 19,13
326,15,2014 1 1 9 20,16
294,1,2014 1 1 9 21,5
164,5,2014 1 1 9 21,60
66,14,2014 1 1 9 24,5
299,1,2014 1 1 9 26,12
146,19,2014 1 1 9 28,15
71,14,2014 1 1 9 29,9
457,10,2014 1 1 9 32,4
183,13,2014 1 1 9 32,1
194,13,2014 1 1 9 33,16
410,17,2014 1 1 9 34,217
228,4,2014 1 1 9 35,9
115,8,2014 1 1 9 36,11
467,10,2014 1 1 9 36,23
317,15,2014 1 1 9 36,2
386,9,2014 1 1 9 37,15
296,1,2014 1 1 9 38,7
75,14,2014 1 1 9 38,37
329,15,2014 1 1 9 38,74
422,2,2014 1 1 9 42,42
175,7,2014 1 1 9 42,34
150,19,2014 1 1 9 43,24
227,4,2014 1 1 9 44,8
300,1,2014 1 1 9 45,46
3,3,2014 1 1 9 47,5
118,8,2014 1 1 9 47,18
193,13,2014 1 1 9 49,12
10,3,2014 1 1 9 52,58
229,4,2014 1 1 9 52,12
382,9,2014 1 1 9 52,5
383,9,2014 1 1 9 57,12
462,10,2014 1 1 9 59,11
189,13,2014 1 1 10 1,6
231,4,2014 1 1 10 4,24
119,8,2014 1 1 10 5,19
199,13,2014 1 1 10 7,80
154,19,2014 1 1 10 7,135
381,9,2014 1 1 10 9,5
464,10,2014 1 1 10 10,14
433,12,2014 1 1 10 10,18
390,9,2014 1 1 10 14,28
38,16,2014 1 1 10 14,3
73,14,2014 1 1 10 15,25
169,7,2014 1 1 10 16,14
47,16,2014 1 1 10 17,22
163,5,2014 1 1 10 21,51
413,2,2014 1 1 10 24,4
122,8,2014 1 1 10 24,36
459,10,2014 1 1 10 24,6
414,2,2014 1 1 10 28,5
221,4,2014 1 1 10 28,2
431,12,2014 1 1 10 28,14
224,4,2014 1 1 10 30,6
179,7,2014 1 1 10 30,46
456,10,2014 1 1 10 30,3
297,1,2014 1 1 10 31,7
423,2,2014 1 1 10 33,112
461,10,2014 1 1 10 33,8
133,11,2014 1 1 10 34,12
287,4,2014 1 1 10 36,14
301,1,2014 1 1 10 38,64
42,16,2014 1 1 10 39,8
76,14,2014 1 1 10 40,37
460,10,2014 1 1 10 41,6
387,9,2014 1 1 10 42,19
425,12,2014 1 1 10 42,4
250,11,2014 1 1 10 46,1
439,12,2014 1 1 10 46,84
466,10,2014 1 1 10 47,16
254,11,2014 1 1 10 47,10
51,16,2014 1 1 10 47,105
9,3,2014 1 1 10 50,51
290,4,2014 1 1 10 50,30
325,15,2014 1 1 10 52,15
251,11,2014 1 1 10 57,2
255,11,2014 1 1 10 59,12
114,8,2014 1 1 11 0,11
379,9,2014 1 1 11 1,1
395,9,2014 1 1 11 2,303
309,10,2014 1 1 11 3,19
447,18,2014 1 1 11 4,12
328,15,2014 1 1 11 7,31
116,8,2014 1 1 11 11,12
257,11,2014 1 1 11 11,98
162,5,2014 1 1 11 12,29
168,7,2014 1 1 11 16,13
441,18,2014 1 1 11 16,3
67,14,2014 1 1 11 17,6
440,18,2014 1 1 11 19,3
291,4,2014 1 1 11 20,49
310,10,2014 1 1 11 22,19
451,18,2014 1 1 11 22,46
111,8,2014 1 1 11 23,3
74,14,2014 1 1 11 23,28
120,8,2014 1 1 11 26,21
187,13,2014 1 1 11 27,5
180,7,2014 1 1 11 29,74
191,13,2014 1 1 11 32,10
249,15,2014 1 1 11 38,128
77,3,2014 1 1 11 41,3
165,5,2014 1 1 11 41,57
307,10,2014 1 1 11 41,9
474,1,2014 1 1 11 42,4
198,13,2014 1 1 11 42,68
79,3,2014 1 1 11 44,14
469,1,2014 1 1 11 46,2
117,8,2014 1 1 11 47,15
471,1,2014 1 1 11 48,3
306,10,2014 1 1 11 50,2
472,1,2014 1 1 11 51,3
65,14,2014 1 1 11 51,2
312,10,2014 1 1 11 52,86
68,14,2014 1 1 11 53,6
485,1,2014 1 1 11 54,102
78,3,2014 1 1 11 58,8
69,14,2014 1 1 11 59,7
123,8,2014 1 1 12 2,113
80,3,2014 1 1 12 6,18
204,14,2014 1 1 12 6,11
454,18,2014 1 1 12 8,81
288,4,2014 1 1 12 9,16
437,12,2014 1 1 12 10,64
200,14,2014 1 1 12 17,2
201,14,2014 1 1 12 19,7
145,19,2014 1 1 12 22,13
81,3,2014 1 1 12 24,26
302,2,2014 1 1 12 25,4
282,4,2014 1 1 12 25,2
202,14,2014 1 1 12 26,7
283,4,2014 1 1 12 27,4
305,2,2014 1 1 12 29,22
286,4,2014 1 1 12 31,8
48,16,2014 1 1 12 32,44
208,14,2014 1 1 12 33,21
147,19,2014 1 1 12 35,14
160,5,2014 1 1 12 38,14
95,6,2014 1 1 12 38,3
292,4,2014 1 1 12 39,111
107,6,2014 1 1 12 41,186
170,7,2014 1 1 12 43,14
253,11,2014 1 1 12 49,7
152,19,2014 1 1 12 49,67
489,3,2014 1 1 12 50,5
188,13,2014 1 1 12 50,5
303,2,2014 1 1 12 51,8
166,5,2014 1 1 12 52,61
