Ticker,Quandl Code,Name
CSCS500,YAHOO/HK_CSCS500,CSI CROSS-STRAITS 500 INDEX
CSHK100,YAHOO/HK_CSHK100,CSI HONG KONG 100 INDEX
HKL,YAHOO/HK_HKL,S&P/HKEX LARGECAP INDEX 
AEX,YAHOO/INDEX_AEX,AEX Amsterdam Index
AORD,YAHOO/INDEX_AORD,All Ordinaries Index 
ATX,YAHOO/INDEX_ATX,ATX Index 
AXJO,YAHOO/INDEX_AXJO,S&P/ASX 200 Index 
AXPJ,YAHOO/INDEX_AXPJ,S&P/ASX 200 Australia REIT Index
BFX,YAHOO/INDEX_BFX,Euronext BEL-20 Index 
BSESN,YAHOO/INDEX_BSESN,BSE 30 Sensitivity Index 
BTK,YAHOO/INDEX_BTK,NYSE AMEX Biotechnology Index
BVSP,YAHOO/INDEX_BVSP,Bovespa Index 
CCSI,YAHOO/INDEX_CCSI,EGX 70 Price Index 
CMR,YAHOO/INDEX_CMR,Morgan Stanley Consumer Index
CND,YAHOO/INDEX_CND,NASDAQ Canada Index
CSE,YAHOO/INDEX_CSE,Colombo All Shares Index 
CTES_VI,YAHOO/INDEX_CTES_VI,Czech Trading Index
CYC,YAHOO/INDEX_CYC,Morgan Stanley Cyclical Index
DRG,YAHOO/INDEX_DRG,NYSE AMEX Pharmaceutical Index
EPX,YAHOO/INDEX_EPX,NASDAQ SIG Oil Exploration and Production Index
FCHI,YAHOO/INDEX_FCHI,CAC 40 Index 
FTAS,YAHOO/INDEX_FTAS,FTSE All-Share Index 
FTSE,YAHOO/INDEX_FTSE,FTSE 100 Index 
FTSEMIB_MI,YAHOO/INDEX_FTSEMIB_MI,FTSE MIB Index 
FVX,YAHOO/INDEX_FVX,Treasury Yield 5 Years Index
GD_AT,YAHOO/INDEX_GD_AT,Athens Composite Index
GDAXI,YAHOO/INDEX_GDAXI,DAX Index 
GOX,YAHOO/INDEX_GOX,CBOE Gold Index
GSPC,YAHOO/INDEX_GSPC,S&P 500 Index
GSPTSE,YAHOO/INDEX_GSPTSE,S&P TSX Composite Index 
GVZ,YAHOO/INDEX_GVZ,CBOE Gold Volatility Index
HCX,YAHOO/INDEX_HCX,CBOE S&P Healthcare Index
HGX,YAHOO/INDEX_HGX,PHLX Housing Sector Index
HSI,YAHOO/INDEX_HSI,Hang Seng Index 
HUI,YAHOO/INDEX_HUI,CBOE Gold Bugs Index
IBEX,YAHOO/INDEX_IBEX,IBEX 35 Index 
IEQR_IR,YAHOO/INDEX_IEQR_IR,ISEQ General Total Return Index 
IETP,YAHOO/INDEX_IETP,ISEQ 20 Price Index 
IIX,YAHOO/INDEX_IIX,Interactive Week Internet Index
IRX,YAHOO/INDEX_IRX,13-week Treasury Bill Index
ISEQ,YAHOO/INDEX_ISEQ,ISEQ Overall Price Index 
IXBK,YAHOO/INDEX_IXBK,NASDAQ Bank Index
IXF,YAHOO/INDEX_IXF,NASDAQ Financial 100 Index
IXFN,YAHOO/INDEX_IXFN,NASDAQ Other Finance Index
IXIC,YAHOO/INDEX_IXIC,NASDAQ Composite Index
IXID,YAHOO/INDEX_IXID,NASDAQ Industrial Index
IXIS,YAHOO/INDEX_IXIS,NASDAQ Insurance Index
IXK,YAHOO/INDEX_IXK,NASDAQ Computer Index
IXTR,YAHOO/INDEX_IXTR,NASDAQ Transportation Index
IXUT,YAHOO/INDEX_IXUT,NASDAQ Telecommunications Index
JKSE,YAHOO/INDEX_JKSE,Jakarta Composite Index 
JPN,YAHOO/INDEX_JPN,NYSE AMEX Japan Index
KLSE,YAHOO/INDEX_KLSE,FTSE Bursa Malaysia Kuala Lumpur Composite Index 
KS11,YAHOO/INDEX_KS11,KOSPI Composite Index 
MERV,YAHOO/INDEX_MERV,MERVAL Index 
MID,YAHOO/INDEX_MID,S&P Mid-Cap 400 Index
MXX,YAHOO/INDEX_MXX,IPC Index 
MXY,YAHOO/INDEX_MXY,NYSE ARCA Mexico Index
N225,YAHOO/INDEX_N225,Nikkei 225 Index 
NBI,YAHOO/INDEX_NBI,NASDAQ Biotechnology Index
NDX,YAHOO/INDEX_NDX,NASDAQ 100 Index
NSEI,YAHOO/INDEX_NSEI,S&P/CNX Nifty Index 
NWX,YAHOO/INDEX_NWX,NYSE ARCA Networking Index
NY,YAHOO/INDEX_NY,NYSE US 100 Index
NYA,YAHOO/INDEX_NYA,NYSE Composite Index
NYI,YAHOO/INDEX_NYI,NYSE International 100 Index
NYL,YAHOO/INDEX_NYL,NYSE World Leaders Index
NYY,YAHOO/INDEX_NYY,NYSE TMT Index
NZ50,YAHOO/INDEX_NZ50,NZSE 50 
OEX,YAHOO/INDEX_OEX,S&P 100 Index
OMX,YAHOO/INDEX_OMX,OMXS 30 Index 
OMXC20_CO,YAHOO/INDEX_OMXC20_CO,OMX Copenhagen 20 Index
OMXSPI,YAHOO/INDEX_OMXSPI,Stockholm General Index 
OSEAX,YAHOO/INDEX_OSEAX,Oslo Exchange All Share Index 
OSX,YAHOO/INDEX_OSX,PHLX Oil Service Sector Index
PSI20,YAHOO/INDEX_PSI20,PSI 20 Stock Index 
RMZ,YAHOO/INDEX_RMZ,MSCI US REIT Index
RTS_RS,YAHOO/INDEX_RTS_RS,RTSI Index 
RUA,YAHOO/INDEX_RUA,Russell 3000 Index
RUI,YAHOO/INDEX_RUI,Russell 1000 Index
RUT,YAHOO/INDEX_RUT,Russell 2000 Index
SML,YAHOO/INDEX_SML,S&P Small-Cap 600 Index
SOX,YAHOO/INDEX_SOX,PHLX Semiconductor Index
SPSUPX,YAHOO/INDEX_SPSUPX,S&P Composite 1500 Index
SPY,YAHOO/INDEX_SPY,SPDR S&P 500 
SSEC,YAHOO/INDEX_SSEC,Shanghai Composite Index 
SSMI,YAHOO/INDEX_SSMI,Swiss Market Index 
STI,YAHOO/INDEX_STI,Straits Times Index 
STOXX50E,YAHOO/INDEX_STOXX50E,EuroStoxx 50 Index
TA100,YAHOO/INDEX_TA100,Tel Aviv 100 Index 
TNX,YAHOO/INDEX_TNX,CBOE Interest Rate 10-Year T-Note Index
TWII,YAHOO/INDEX_TWII,Taiwan Weighted Index
TYX,YAHOO/INDEX_TYX,Treasury Yield 30 Years Index
UTY,YAHOO/INDEX_UTY,PHLX Utility Sector Index
VDAX,YAHOO/INDEX_VDAX,Deutsche Boerse VDAX Volatility Index
VIX,YAHOO/INDEX_VIX,VIX S&P 500 Volatility Index
W5000,YAHOO/INDEX_W5000,Wilshire 5000 Total Market Index
W5KLCG,YAHOO/INDEX_W5KLCG,Wilshire US Large Cap Growth
W5KLCV,YAHOO/INDEX_W5KLCV,Wilshire US Large Cap Value
W5KMCG,YAHOO/INDEX_W5KMCG,Wilshire US Mid Cap Growth
W5KMCV,YAHOO/INDEX_W5KMCV,Wilshire US Mid Cap Value
W5KSCG,YAHOO/INDEX_W5KSCG,Wilshire US Small Cap Growth
W5KSCV,YAHOO/INDEX_W5KSCV,Wilshire US Small Cap Value
WGREIT,YAHOO/INDEX_WGREIT,Wilshire Global REIT Index
WGRESI,YAHOO/INDEX_WGRESI,Wilshire Global Real Estate Securities Index
WICZH_L,YAHOO/INDEX_WICZH_L,FTSE Czech Republic Index
WIHUN_L,YAHOO/INDEX_WIHUN_L,FTSE HUngary Index
WILREIT,YAHOO/INDEX_WILREIT,Wilshire US REIT Index
WILRESI,YAHOO/INDEX_WILRESI,Wilshire US Real Estate Securities Index
WIPOL_L,YAHOO/INDEX_WIPOL_L,FTSE Poland Index
WITHA_L,YAHOO/INDEX_WITHA_L,FTSE Thailand Index
WITUR_L,YAHOO/INDEX_WITUR_L,FTSE Turkey Index
XAL,YAHOO/INDEX_XAL,NYSE AMEX Airline Index
XAU,YAHOO/INDEX_XAU,PHLX Gold/Silver Sector Index
XAX,YAHOO/INDEX_XAX,NYSE AMEX Composite Index
XBD,YAHOO/INDEX_XBD,NYSE AMEX Securities Broker/Dealer Index
XCI,YAHOO/INDEX_XCI,NYSE AMEX Computer Technology Index
XII,YAHOO/INDEX_XII,NYSE ARCA Institutional Index
XMI,YAHOO/INDEX_XMI,NYSE ARCA Major Market Index
XNG,YAHOO/INDEX_XNG,NYSE AMEX Natural Gas Index
XOI,YAHOO/INDEX_XOI,NYSE AMEX Oil Index
